Model,Name,MAC address,Public IP,Uplink IP (Port 1),Uplink IP (Port 2),Tags,Network,Serial number,Clients,Usage,Contacted at,Configuration status
MX67,08:f1:b3:65:61:21,08:f1:b3:65:61:21,159.196.220.204,192.168.1.106,,,VIC - Morwell,Q2FY-AQYK-B7PG,0,None,2 minutes ago,Up to date
MX67,08:f1:b3:66:15:7b,08:f1:b3:66:15:7b,110.142.97.133,192.168.15.2,,,VIC-LLD-Camperdown,Q2FY-H2AW-CQC2,11,5.23 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:15:b7,08:f1:b3:66:15:b7,120.151.195.94,192.168.15.2,,,VIC-LLD-Colac,Q2FY-H2FM-FLRY,16,7.58 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:1b:45,08:f1:b3:66:1b:45,110.142.110.63,192.168.15.2,,,VIC-LLD-Drysdale,Q2FY-H86F-Z795,16,5.35 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:1f:b9,08:f1:b3:66:1f:b9,165.228.184.115,192.168.15.2,,,VIC-LLD-Portland,Q2FY-HCVC-3M4U,8,6.10 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:26:c1,08:f1:b3:66:26:c1,165.228.34.134,192.168.15.2,,,VIC-LLD-Newcomb,Q2FY-HMGV-427G,13,4.42 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:26:d9,08:f1:b3:66:26:d9,165.228.16.224,192.168.15.2,,,VIC-LLD-Warrnambool Warehouse,Q2FY-HMPF-K4Z7,10,2.95 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:27:0f,08:f1:b3:66:27:0f,203.45.75.235,192.168.15.5,,,VIC-LLD-Warrnambool Shop,Q2FY-HN23-TFAV,3,5.37 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:28:1d,08:f1:b3:66:28:1d,120.151.226.68,192.168.15.2,,,VIC-LLD-Grovedale,Q2FY-HP4F-2QJM,14,6.98 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:2a:93,08:f1:b3:66:2a:93,101.178.218.133,192.168.15.2,,,NSW-LLD-Tamworth No Use,Q2FY-HRWS-2BBT,0,None,13 months ago,Not up to date
MX67,08:f1:b3:66:2b:17,08:f1:b3:66:2b:17,110.142.35.156,110.142.35.156,,,VIC-LLD-Moonee Ponds,Q2FY-HSM3-Y63T,11,6.08 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:2d:69,08:f1:b3:66:2d:69,165.228.139.46,165.228.139.46,,,VIC-LLD-Breakwater,Q2FY-HV7R-QCY8,23,21.11 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:31:17,08:f1:b3:66:31:17,110.143.109.135,192.168.15.2,, recently-added ,VIC-LLD-Port Fairy,Q2FY-HZB4-QGBQ,11,12.14 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:38:91,08:f1:b3:66:38:91,101.187.15.218,192.168.15.2,,,VIC-LLD-Belmont,Q2FY-J9AR-VJXB,10,5.82 GB,2 minutes ago,Up to date
MX67,08:f1:b3:66:3a:41,08:f1:b3:66:3a:41,110.142.87.91,110.142.87.91,,,NSW-LLD-Armidale,Q2FY-JBA3-WRLA,14,13.48 GB,2 minutes ago,Up to date
MR33,68:3a:1e:32:04:93,68:3a:1e:32:04:93,110.142.35.156,192.168.128.3,, recently-added ,VIC-LLD-Moonee Ponds,Q2PD-4P7L-VEB2,7,5.21 GB,2 minutes ago,Up to date
MR33,68:3a:1e:32:30:6e,68:3a:1e:32:30:6e,27.32.231.106,192.168.128.3,, recently-added ,VIC-Albans,Q2PD-C3LT-Q36Z,4,18.29 GB,2 minutes ago,Up to date
MR33,68:3a:1e:32:30:c5,68:3a:1e:32:30:c5,14.200.94.30,192.168.128.6,,,NSW-Lismore,Q2PD-C7G2-UZYW,12,23.61 GB,2 minutes ago,Up to date
MR33,68:3a:1e:32:31:09,68:3a:1e:32:31:09,101.187.252.144,192.168.128.3,,,NSW-LLD-Ballina,Q2PD-CBES-QSTV,6,3.57 GB,2 minutes ago,Up to date
MR33,68:3a:1e:32:31:7d,68:3a:1e:32:31:7d,14.200.94.30,192.168.128.7,,,NSW-Lismore,Q2PD-CGG6-DBR8,5,18.98 GB,2 minutes ago,Up to date
MS210-24P,68:3a:1e:63:02:28,68:3a:1e:63:02:28,60.240.251.22,192.168.128.2,,,QLD-MAROOCHYDORE,Q2SX-L98Z-ZX8F,17,41.31 GB,2 minutes ago,Up to date
MS210-24P,68:3a:1e:63:1a:a8,68:3a:1e:63:1a:a8,14.201.212.242,10.120.3.4,,,NSW-Balgowlah,Q2SX-LNTB-AE45,13,104.75 GB,2 minutes ago,Up to date
MS210-24P,68:3a:1e:63:6f:e8,68:3a:1e:63:6f:e8,123.243.29.158,10.120.8.2,,,NSW-Gordon,Q2SX-TBXE-VCDA,19,200.47 GB,2 minutes ago,Up to date
MS210-24P,68:3a:1e:63:71:08,68:3a:1e:63:71:08,123.243.29.158,10.120.11.14,,,NSW-Parramatta,Q2SX-TC6E-E4FM,23,67.29 GB,2 minutes ago,Up to date
MS210-24P,68:3a:1e:63:75:68,68:3a:1e:63:75:68,14.203.218.174,192.168.128.3,, recently-added ,VIC NARRM,Q2SX-VKWH-R3NR,20,54.26 GB,2 minutes ago,Up to date
MS210-24P,68:3a:1e:63:79:08,68:3a:1e:63:79:08,60.240.251.46,192.168.128.2,,,NSW-Sydney CBD,Q2SX-VMFW-HMTL,21,138.24 GB,2 minutes ago,Up to date
MS210-24P,68:3a:1e:63:7c:08,68:3a:1e:63:7c:08,60.242.246.10,192.168.128.3,, 24P recently-added ,QLD-Brisbane-AnnSt,Q2SX-VPGY-EHVL,16,32.30 GB,2 minutes ago,Up to date
MS210-24P,68:3a:1e:63:7e:08,68:3a:1e:63:7e:08,27.33.91.218,192.168.128.2,,,SA-Adelaide,Q2SX-VQFC-X8BL,15,88.69 GB,2 minutes ago,Up to date
MR33,AP MR33 Office Central,68:3a:1e:32:30:d5,60.240.175.102,192.168.128.2,, recently-added ,NSW-LLD-Islington,Q2PD-C87Z-G4VG,32,26.37 GB,2 minutes ago,Up to date
MR36,AP MR36 Counselling,e4:55:a8:ad:8e:ad,60.240.175.102,192.168.128.6,,,NSW-LLD-Islington,Q3KA-3CU3-TY45,0,None,4.1 months ago,Not up to date
MR36,AP MR36 Finance Room,e4:55:a8:ad:90:ee,60.240.175.102,192.168.128.5,,,NSW-LLD-Islington,Q3KA-9ELW-8EUN,29,31.03 GB,2 minutes ago,Up to date
MS120-24,AU01-MS120-SW-01,34:56:fe:33:18:c8,123.243.29.158,10.40.2.6,,,NSW-DC Sydney,Q2DX-JALQ-S7U4,3,1.54 TB,2 minutes ago,Up to date
MS120-24,AU01-MS120-SW-02,34:56:fe:32:8c:46,123.243.29.158,10.40.2.7,,,NSW-DC Sydney,Q2DX-A4UE-P36U,2,175.12 GB,2 minutes ago,Up to date
MS120-24,AU01-MS120-SW-03,34:56:fe:32:a7:1c,123.243.29.158,10.40.7.6,,,NSW-DC Sydney,Q2DX-B4M4-GH2V,42,471.22 GB,2 minutes ago,Up to date
MS120-24,AU01-MS120-SW-04,0c:8d:db:0a:8e:d6,123.243.29.158,10.40.7.7,,,NSW-DC Sydney,Q2DX-PX8K-SZUX,8,102.15 GB,2 minutes ago,Up to date
MX84,AU01-MX84-MX-01,ac:17:c8:22:bd:10,123.243.29.158,10.40.7.4,,,NSW-DC Sydney,Q2PN-8BNQ-RL82,2,4.29 GB,2 minutes ago,Up to date
MX84,AU01-MX84-MX-02,ac:17:c8:22:d4:a0,123.243.29.158,10.40.7.5,,,NSW-DC Sydney,Q2PN-2RCV-W3XU,0,None,2 minutes ago,Up to date
MS120-24,AU02-MS120-SW-01,34:56:fe:32:18:06,14.201.212.242,10.50.2.6,,,VIC-DC Melbourne,Q2DX-3JSW-PE4F,3,736.50 GB,2 minutes ago,Up to date
MS120-24,AU02-MS120-SW-02,34:56:fe:b3:e9:e4,14.201.212.242,10.50.2.7,,,VIC-DC Melbourne,Q2DX-DTE5-3YEP,2,106.00 GB,2 minutes ago,Up to date
MS120-24,AU02-MS120-SW-03,34:56:fe:34:fb:3e,14.201.212.242,10.50.7.6,,,VIC-DC Melbourne,Q2DX-KWKG-GHXB,24,100.98 GB,2 minutes ago,Up to date
MS120-24,AU02-MS120-SW-04,34:56:fe:33:15:bc,14.201.212.242,10.50.7.7,,,VIC-DC Melbourne,Q2DX-J3TF-XA5Y,8,23.30 GB,2 minutes ago,Up to date
MX84,AU02-MX84-MX-01,ac:17:c8:22:c6:30,14.201.212.242,10.50.7.4,,,VIC-DC Melbourne,Q2PN-6B4J-ZSM4,2,2.50 GB,2 minutes ago,Up to date
MX84,AU02-MX84-MX-02,ac:17:c8:23:00:b0,14.201.212.242,10.50.7.5,,,VIC-DC Melbourne,Q2PN-P73Z-K8HR,0,None,2 minutes ago,Up to date
MS120-8FP,Bathurst-MS120-SW-01,ac:17:c8:65:da:09,14.201.212.242,10.120.4.8,, recently-added ,NSW-Bathurst,Q2CX-692T-SNVP,9,20.53 GB,2 minutes ago,Up to date
MS210-48LP,Bottom-SW2,68:3a:1e:70:c1:f0,60.240.51.190,192.168.200.3,,,NSW-Sydney National Office Level 12,Q2UX-6WRG-NVLW,261,406.02 GB,2 minutes ago,Up to date
MR36,BottomSW29 MR36,e4:55:a8:94:4c:5c,60.240.51.190,192.168.200.14,,,NSW-Sydney National Office Level 12,Q3AJ-KPZ3-VVZC,67,23.08 GB,2 minutes ago,Up to date
MX67,Bryon Bay Router,ac:17:c8:cf:dd:47,120.151.205.72,192.168.15.2,,,NSW-LLD-Byron Bay,Q2FY-BN6N-UTAS,8,10.56 GB,2 minutes ago,Up to date
MR33,Byron Bay AP,68:3a:1e:32:30:e8,120.151.205.72,192.168.128.4,,,NSW-LLD-Byron Bay,Q2PD-C98M-PDAQ,4,4.20 GB,2 minutes ago,Up to date
MS130-8P,Byron Bay SW,bc:33:40:c0:d2:f7,120.151.205.72,192.168.128.3,,,NSW-LLD-Byron Bay,Q4CB-BBQW-2BAW,7,10.40 GB,2 minutes ago,Up to date
MX67,Cardiff Router,ac:17:c8:d0:19:2f,120.151.132.89,192.168.15.3,, recently-added ,NSW-LLD-Cardiff,Q2FY-Z97K-94F5,5,3.64 GB,2 minutes ago,Up to date
MS130-8P,Cardiff SW,bc:33:40:c0:e9:de,120.151.132.89,192.168.128.3,, recently-added ,NSW-LLD-Cardiff,Q4CB-WUFQ-ESC8,5,7.25 GB,2 minutes ago,Up to date
MR33,Casino AP,68:3a:1e:32:30:ed,203.45.55.88,192.168.128.3,,,NSW-LLD-Casino,Q2PD-C9KJ-XDW5,9,15.28 GB,2 minutes ago,Up to date
MX67,Casino Router,ac:17:c8:d0:1b:cf,203.45.55.88,203.45.55.88,,,NSW-LLD-Casino,Q2FY-ZFD7-YGHA,13,15.81 GB,2 minutes ago,Up to date
MS130-8P,Casino SW,bc:33:40:c0:d9:8a,203.45.55.88,192.168.128.2,, recently-added ,NSW-LLD-Casino,Q4CB-VFQK-5JUE,12,15.69 GB,2 minutes ago,Up to date
MR36,East Maitland AP,e4:55:a8:94:4a:67,144.139.0.61,192.168.128.2,,,NSW-LLD-East Maitland,Q3AJ-LCEH-HAWQ,10,3.40 GB,2 minutes ago,Up to date
MX67,East Maitland Router,ac:17:c8:cf:f7:3f,144.139.0.61,144.139.0.61,,,NSW-LLD-East Maitland,Q2FY-WK9J-KA5K,15,6.26 GB,2 minutes ago,Up to date
MS130-8P,East Maitland SW,bc:33:40:c0:c8:86,144.139.0.61,192.168.128.3,,,NSW-LLD-East Maitland,Q4CB-SCKP-ERNC,14,6.10 GB,2 minutes ago,Up to date
MS130-8P,EastGosfordSW,bc:33:40:c0:db:fd,120.151.236.153,192.168.128.2,,,NSW-LLD-East Gosford,Q4CB-A29E-3LQC,14,5.62 GB,2 minutes ago,Up to date
MR33,Goonellabah AP,68:3a:1e:32:30:a0,120.150.136.75,192.168.128.3,,,NSW-LLD-Goonellabah,Q2PD-C5WL-CA6W,11,21.09 GB,2 minutes ago,Up to date
MX67,Goonellabah MX67,08:f1:b3:65:46:ed,120.150.136.75,192.168.15.3,,,NSW-LLD-Goonellabah,Q2FY-9UA2-C9AV,13,21.81 GB,2 minutes ago,Up to date
MS130-8P,Goonellabah SW,bc:33:40:c0:de:7b,120.150.136.75,192.168.128.2,, recently-added ,NSW-LLD-Goonellabah,Q4CB-GSF5-75PA,12,21.70 GB,2 minutes ago,Up to date
MR33,Gosford AP,68:3a:1e:32:11:e9,101.187.252.149,192.168.128.3,, recently-added ,NSW-LLD-Gosford,Q2PD-VYEH-P938,4,97.71 GB,2 minutes ago,Up to date
MX67,Gosford MX67,ac:17:c8:cf:fc:e5,101.187.252.149,101.187.252.149,,,NSW-LLD-Gosford,Q2FY-X2TS-35SN,7,98.17 GB,2 minutes ago,Up to date
MS130-8P,Gosford SW,bc:33:40:c0:c6:c3,101.187.252.149,192.168.128.2,, recently-added ,NSW-LLD-Gosford,Q4CB-69JX-6GEU,6,98.05 GB,2 minutes ago,Up to date
MR33,Hamilton North AP,68:3a:1e:32:10:7a,110.142.215.211,192.168.128.4,, recently-added ,NSW-LLD-Hamilton North,Q2PD-VGL3-73YB,8,1.94 GB,2 minutes ago,Up to date
MX67,Hamilton North MX67,ac:17:c8:d0:1d:7f,110.142.215.211,192.168.15.2,, recently-added ,NSW-LLD-Hamilton North,Q2FY-ZK7D-W6EL,12,7.62 GB,2 minutes ago,Up to date
MS130-8P,Hamilton North SW,bc:33:40:c0:cf:c9,110.142.215.211,192.168.128.3,,,NSW-LLD-Hamilton North,Q4CB-9DU2-EZ7G,11,7.43 GB,2 minutes ago,Up to date
